"","date","births","wday","year","month","day","day_of_year","day_of_week"
"1575",1973-04-24,8757,"Tues",1973,4,24,115,2
"1576",1973-04-25,8352,"Wed",1973,4,25,116,3
"1577",1973-04-26,8508,"Thurs",1973,4,26,117,4
"1578",1973-04-27,8537,"Fri",1973,4,27,118,5
"1579",1973-04-28,7390,"Sat",1973,4,28,119,6
"1580",1973-04-29,6757,"Sun",1973,4,29,120,7
"1581",1973-04-30,8514,"Mon",1973,4,30,121,1
"1582",1973-05-01,8846,"Tues",1973,5,1,122,2
"1583",1973-05-02,8501,"Wed",1973,5,2,123,3
"1584",1973-05-03,8321,"Thurs",1973,5,3,124,4
"1585",1973-05-04,8296,"Fri",1973,5,4,125,5
"1586",1973-05-05,7546,"Sat",1973,5,5,126,6
"1587",1973-05-06,6892,"Sun",1973,5,6,127,7
"1588",1973-05-07,8274,"Mon",1973,5,7,128,1
"1589",1973-05-08,8980,"Tues",1973,5,8,129,2
"1590",1973-05-09,8626,"Wed",1973,5,9,130,3
"1591",1973-05-10,8438,"Thurs",1973,5,10,131,4
"1592",1973-05-11,8619,"Fri",1973,5,11,132,5
"1593",1973-05-12,7439,"Sat",1973,5,12,133,6
"1594",1973-05-13,6989,"Sun",1973,5,13,134,7
"1595",1973-05-14,8236,"Mon",1973,5,14,135,1
"1596",1973-05-15,8776,"Tues",1973,5,15,136,2
"1597",1973-05-16,8545,"Wed",1973,5,16,137,3
"1598",1973-05-17,8549,"Thurs",1973,5,17,138,4
"1599",1973-05-18,8584,"Fri",1973,5,18,139,5
"1600",1973-05-19,7699,"Sat",1973,5,19,140,6
"1601",1973-05-20,7165,"Sun",1973,5,20,141,7
"1602",1973-05-21,8661,"Mon",1973,5,21,142,1
"1603",1973-05-22,8767,"Tues",1973,5,22,143,2
"1604",1973-05-23,8506,"Wed",1973,5,23,144,3
"1605",1973-05-24,8429,"Thurs",1973,5,24,145,4
"1606",1973-05-25,9097,"Fri",1973,5,25,146,5
"1607",1973-05-26,7708,"Sat",1973,5,26,147,6
"1608",1973-05-27,7179,"Sun",1973,5,27,148,7
"1609",1973-05-28,7303,"Mon",1973,5,28,149,1
"1610",1973-05-29,8909,"Tues",1973,5,29,150,2
"1611",1973-05-30,8785,"Wed",1973,5,30,151,3
"1612",1973-05-31,8588,"Thurs",1973,5,31,152,4
"1613",1973-06-01,8855,"Fri",1973,6,1,153,5
"1614",1973-06-02,7846,"Sat",1973,6,2,154,6
"1615",1973-06-03,7209,"Sun",1973,6,3,155,7
"1616",1973-06-04,8505,"Mon",1973,6,4,156,1
"1617",1973-06-05,8898,"Tues",1973,6,5,157,2
"1618",1973-06-06,8706,"Wed",1973,6,6,158,3
"1619",1973-06-07,8786,"Thurs",1973,6,7,159,4
"1620",1973-06-08,8801,"Fri",1973,6,8,160,5
"1621",1973-06-09,7930,"Sat",1973,6,9,161,6
"1622",1973-06-10,7330,"Sun",1973,6,10,162,7
"1623",1973-06-11,8896,"Mon",1973,6,11,163,1
"1624",1973-06-12,9026,"Tues",1973,6,12,164,2
"1625",1973-06-13,8730,"Wed",1973,6,13,165,3
"1626",1973-06-14,8625,"Thurs",1973,6,14,166,4
"1627",1973-06-15,8822,"Fri",1973,6,15,167,5
"1628",1973-06-16,8025,"Sat",1973,6,16,168,6
"1629",1973-06-17,7405,"Sun",1973,6,17,169,7
"1630",1973-06-18,8959,"Mon",1973,6,18,170,1
"1631",1973-06-19,9046,"Tues",1973,6,19,171,2
"1632",1973-06-20,8702,"Wed",1973,6,20,172,3
"1633",1973-06-21,8782,"Thurs",1973,6,21,173,4
"1634",1973-06-22,8928,"Fri",1973,6,22,174,5
"1635",1973-06-23,7782,"Sat",1973,6,23,175,6
"1636",1973-06-24,7281,"Sun",1973,6,24,176,7
"1637",1973-06-25,8790,"Mon",1973,6,25,177,1
"1638",1973-06-26,9081,"Tues",1973,6,26,178,2
"1639",1973-06-27,9012,"Wed",1973,6,27,179,3
"1640",1973-06-28,9068,"Thurs",1973,6,28,180,4
"1641",1973-06-29,9008,"Fri",1973,6,29,181,5
"1642",1973-06-30,7931,"Sat",1973,6,30,182,6
"1643",1973-07-01,7561,"Sun",1973,7,1,183,7
"1644",1973-07-02,9003,"Mon",1973,7,2,184,1
"1645",1973-07-03,9829,"Tues",1973,7,3,185,2
"1646",1973-07-04,7910,"Wed",1973,7,4,186,3
"1647",1973-07-05,9168,"Thurs",1973,7,5,187,4
"1648",1973-07-06,9450,"Fri",1973,7,6,188,5
"1649",1973-07-07,8352,"Sat",1973,7,7,189,6
"1650",1973-07-08,7787,"Sun",1973,7,8,190,7
"1651",1973-07-09,9326,"Mon",1973,7,9,191,1
"1652",1973-07-10,9627,"Tues",1973,7,10,192,2
"1653",1973-07-11,9197,"Wed",1973,7,11,193,3
"1654",1973-07-12,8939,"Thurs",1973,7,12,194,4
"1655",1973-07-13,9028,"Fri",1973,7,13,195,5
"1656",1973-07-14,8445,"Sat",1973,7,14,196,6
"1657",1973-07-15,7551,"Sun",1973,7,15,197,7
"1658",1973-07-16,9090,"Mon",1973,7,16,198,1
"1659",1973-07-17,9639,"Tues",1973,7,17,199,2
"1660",1973-07-18,9272,"Wed",1973,7,18,200,3
"1661",1973-07-19,9290,"Thurs",1973,7,19,201,4
"1662",1973-07-20,9470,"Fri",1973,7,20,202,5
"1663",1973-07-21,8295,"Sat",1973,7,21,203,6
"1664",1973-07-22,7644,"Sun",1973,7,22,204,7
"1665",1973-07-23,9236,"Mon",1973,7,23,205,1
"1666",1973-07-24,9450,"Tues",1973,7,24,206,2
"1667",1973-07-25,9493,"Wed",1973,7,25,207,3
"1668",1973-07-26,9332,"Thurs",1973,7,26,208,4
"1669",1973-07-27,9416,"Fri",1973,7,27,209,5
"1670",1973-07-28,8424,"Sat",1973,7,28,210,6
"1671",1973-07-29,7745,"Sun",1973,7,29,211,7
"1672",1973-07-30,9225,"Mon",1973,7,30,212,1
"1673",1973-07-31,9702,"Tues",1973,7,31,213,2
"1674",1973-08-01,9437,"Wed",1973,8,1,214,3
"1675",1973-08-02,9399,"Thurs",1973,8,2,215,4
"1676",1973-08-03,9421,"Fri",1973,8,3,216,5
"1677",1973-08-04,8095,"Sat",1973,8,4,217,6
"1678",1973-08-05,7616,"Sun",1973,8,5,218,7
"1679",1973-08-06,9444,"Mon",1973,8,6,219,1
"1680",1973-08-07,9770,"Tues",1973,8,7,220,2
"1681",1973-08-08,9598,"Wed",1973,8,8,221,3
"1682",1973-08-09,9418,"Thurs",1973,8,9,222,4
"1683",1973-08-10,9829,"Fri",1973,8,10,223,5
"1684",1973-08-11,8192,"Sat",1973,8,11,224,6
"1685",1973-08-12,7908,"Sun",1973,8,12,225,7
"1686",1973-08-13,9208,"Mon",1973,8,13,226,1
"1687",1973-08-14,9842,"Tues",1973,8,14,227,2
"1688",1973-08-15,9540,"Wed",1973,8,15,228,3
"1689",1973-08-16,9283,"Thurs",1973,8,16,229,4
"1690",1973-08-17,9309,"Fri",1973,8,17,230,5
"1691",1973-08-18,8280,"Sat",1973,8,18,231,6
"1692",1973-08-19,7781,"Sun",1973,8,19,232,7
"1693",1973-08-20,9467,"Mon",1973,8,20,233,1
"1694",1973-08-21,9641,"Tues",1973,8,21,234,2
"1695",1973-08-22,9417,"Wed",1973,8,22,235,3
"1696",1973-08-23,9049,"Thurs",1973,8,23,236,4
"1697",1973-08-24,9348,"Fri",1973,8,24,237,5
"1698",1973-08-25,8320,"Sat",1973,8,25,238,6
"1699",1973-08-26,7978,"Sun",1973,8,26,239,7
"1700",1973-08-27,9497,"Mon",1973,8,27,240,1
"1701",1973-08-28,9701,"Tues",1973,8,28,241,2
"1702",1973-08-29,9408,"Wed",1973,8,29,242,3
"1703",1973-08-30,9556,"Thurs",1973,8,30,243,4
"1704",1973-08-31,9391,"Fri",1973,8,31,244,5
"1705",1973-09-01,8400,"Sat",1973,9,1,245,6
"1706",1973-09-02,7707,"Sun",1973,9,2,246,7
"1707",1973-09-03,7781,"Mon",1973,9,3,247,1
"1708",1973-09-04,9514,"Tues",1973,9,4,248,2
"1709",1973-09-05,9897,"Wed",1973,9,5,249,3
"1710",1973-09-06,9211,"Thurs",1973,9,6,250,4
"1711",1973-09-07,9417,"Fri",1973,9,7,251,5
"1712",1973-09-08,8257,"Sat",1973,9,8,252,6
"1713",1973-09-09,7961,"Sun",1973,9,9,253,7
"1714",1973-09-10,9165,"Mon",1973,9,10,254,1
"1715",1973-09-11,9701,"Tues",1973,9,11,255,2
"1716",1973-09-12,9303,"Wed",1973,9,12,256,3
"1717",1973-09-13,9106,"Thurs",1973,9,13,257,4
"1718",1973-09-14,9669,"Fri",1973,9,14,258,5
"1719",1973-09-15,8507,"Sat",1973,9,15,259,6
"1720",1973-09-16,7994,"Sun",1973,9,16,260,7
"1721",1973-09-17,9538,"Mon",1973,9,17,261,1
"1722",1973-09-18,9625,"Tues",1973,9,18,262,2
"1723",1973-09-19,9364,"Wed",1973,9,19,263,3
"1724",1973-09-20,9768,"Thurs",1973,9,20,264,4
"1725",1973-09-21,9617,"Fri",1973,9,21,265,5
"1726",1973-09-22,8731,"Sat",1973,9,22,266,6
"1727",1973-09-23,8256,"Sun",1973,9,23,267,7
"1728",1973-09-24,9611,"Mon",1973,9,24,268,1
"1729",1973-09-25,10089,"Tues",1973,9,25,269,2
"1730",1973-09-26,9795,"Wed",1973,9,26,270,3
"1731",1973-09-27,9597,"Thurs",1973,9,27,271,4
"1732",1973-09-28,9547,"Fri",1973,9,28,272,5
"1733",1973-09-29,8433,"Sat",1973,9,29,273,6
"1734",1973-09-30,8014,"Sun",1973,9,30,274,7
"1735",1973-10-01,9297,"Mon",1973,10,1,275,1
"1736",1973-10-02,9676,"Tues",1973,10,2,276,2
"1737",1973-10-03,9069,"Wed",1973,10,3,277,3
"1738",1973-10-04,8949,"Thurs",1973,10,4,278,4
"1739",1973-10-05,9247,"Fri",1973,10,5,279,5
"1740",1973-10-06,8174,"Sat",1973,10,6,280,6
"1741",1973-10-07,7616,"Sun",1973,10,7,281,7
"1742",1973-10-08,9056,"Mon",1973,10,8,282,1
"1743",1973-10-09,9309,"Tues",1973,10,9,283,2
"1744",1973-10-10,9127,"Wed",1973,10,10,284,3
"1745",1973-10-11,8822,"Thurs",1973,10,11,285,4
"1746",1973-10-12,8928,"Fri",1973,10,12,286,5
"1747",1973-10-13,7928,"Sat",1973,10,13,287,6
"1748",1973-10-14,7443,"Sun",1973,10,14,288,7
"1749",1973-10-15,8823,"Mon",1973,10,15,289,1
"1750",1973-10-16,9105,"Tues",1973,10,16,290,2
"1751",1973-10-17,8714,"Wed",1973,10,17,291,3
"1752",1973-10-18,8702,"Thurs",1973,10,18,292,4
"1753",1973-10-19,8853,"Fri",1973,10,19,293,5
"1754",1973-10-20,7637,"Sat",1973,10,20,294,6
"1755",1973-10-21,7046,"Sun",1973,10,21,295,7
"1756",1973-10-22,8430,"Mon",1973,10,22,296,1
"1757",1973-10-23,9255,"Tues",1973,10,23,297,2
"1758",1973-10-24,8805,"Wed",1973,10,24,298,3
"1759",1973-10-25,8507,"Thurs",1973,10,25,299,4
"1760",1973-10-26,8753,"Fri",1973,10,26,300,5
"1761",1973-10-27,7746,"Sat",1973,10,27,301,6
"1762",1973-10-28,7374,"Sun",1973,10,28,302,7
"1763",1973-10-29,8564,"Mon",1973,10,29,303,1
"1764",1973-10-30,8728,"Tues",1973,10,30,304,2
"1765",1973-10-31,8695,"Wed",1973,10,31,305,3
"1766",1973-11-01,8763,"Thurs",1973,11,1,306,4
"1767",1973-11-02,8759,"Fri",1973,11,2,307,5
"1768",1973-11-03,7741,"Sat",1973,11,3,308,6
"1769",1973-11-04,7245,"Sun",1973,11,4,309,7
"1770",1973-11-05,8712,"Mon",1973,11,5,310,1
"1771",1973-11-06,8608,"Tues",1973,11,6,311,2
"1772",1973-11-07,8716,"Wed",1973,11,7,312,3
"1773",1973-11-08,8646,"Thurs",1973,11,8,313,4
"1774",1973-11-09,8997,"Fri",1973,11,9,314,5
"1775",1973-11-10,7859,"Sat",1973,11,10,315,6
"1776",1973-11-11,7420,"Sun",1973,11,11,316,7
"1777",1973-11-12,8684,"Mon",1973,11,12,317,1
"1778",1973-11-13,9149,"Tues",1973,11,13,318,2
"1779",1973-11-14,8839,"Wed",1973,11,14,319,3
"1780",1973-11-15,8721,"Thurs",1973,11,15,320,4
"1781",1973-11-16,9139,"Fri",1973,11,16,321,5
"1782",1973-11-17,7877,"Sat",1973,11,17,322,6
"1783",1973-11-18,7420,"Sun",1973,11,18,323,7
"1784",1973-11-19,8875,"Mon",1973,11,19,324,1
"1785",1973-11-20,9399,"Tues",1973,11,20,325,2
"1786",1973-11-21,8596,"Wed",1973,11,21,326,3
"1787",1973-11-22,7049,"Thurs",1973,11,22,327,4
"1788",1973-11-23,8242,"Fri",1973,11,23,328,5
"1789",1973-11-24,7760,"Sat",1973,11,24,329,6
"1790",1973-11-25,7379,"Sun",1973,11,25,330,7
"1791",1973-11-26,9052,"Mon",1973,11,26,331,1
"1792",1973-11-27,9345,"Tues",1973,11,27,332,2
"1793",1973-11-28,8592,"Wed",1973,11,28,333,3
"1794",1973-11-29,8552,"Thurs",1973,11,29,334,4
"1795",1973-11-30,8590,"Fri",1973,11,30,335,5
"1796",1973-12-01,7667,"Sat",1973,12,1,336,6
"1797",1973-12-02,7312,"Sun",1973,12,2,337,7
"1798",1973-12-03,8739,"Mon",1973,12,3,338,1
"1799",1973-12-04,9104,"Tues",1973,12,4,339,2
"1800",1973-12-05,8799,"Wed",1973,12,5,340,3
"1801",1973-12-06,8649,"Thurs",1973,12,6,341,4
"1802",1973-12-07,8481,"Fri",1973,12,7,342,5
"1803",1973-12-08,7682,"Sat",1973,12,8,343,6
"1804",1973-12-09,7456,"Sun",1973,12,9,344,7
"1805",1973-12-10,8892,"Mon",1973,12,10,345,1
"1806",1973-12-11,9058,"Tues",1973,12,11,346,2
"1807",1973-12-12,8794,"Wed",1973,12,12,347,3
"1808",1973-12-13,8751,"Thurs",1973,12,13,348,4
"1809",1973-12-14,9177,"Fri",1973,12,14,349,5
"1810",1973-12-15,7821,"Sat",1973,12,15,350,6
"1811",1973-12-16,7664,"Sun",1973,12,16,351,7
"1812",1973-12-17,9410,"Mon",1973,12,17,352,1
"1813",1973-12-18,9536,"Tues",1973,12,18,353,2
"1814",1973-12-19,9317,"Wed",1973,12,19,354,3
"1815",1973-12-20,8981,"Thurs",1973,12,20,355,4
"1816",1973-12-21,8931,"Fri",1973,12,21,356,5
"1817",1973-12-22,7585,"Sat",1973,12,22,357,6
"1818",1973-12-23,7012,"Sun",1973,12,23,358,7
"1819",1973-12-24,7300,"Mon",1973,12,24,359,1
"1820",1973-12-25,6964,"Tues",1973,12,25,360,2
"1821",1973-12-26,8136,"Wed",1973,12,26,361,3
"1822",1973-12-27,9509,"Thurs",1973,12,27,362,4
"1823",1973-12-28,9950,"Fri",1973,12,28,363,5
"1824",1973-12-29,8320,"Sat",1973,12,29,364,6
"1825",1973-12-30,7365,"Sun",1973,12,30,365,7
"1826",1973-12-31,8966,"Mon",1973,12,31,366,1
"1827",1974-01-01,7002,"Tues",1974,1,1,1,2
"1828",1974-01-02,7809,"Wed",1974,1,2,2,3
"1829",1974-01-03,8377,"Thurs",1974,1,3,3,4
"1830",1974-01-04,8851,"Fri",1974,1,4,4,5
"1831",1974-01-05,7827,"Sat",1974,1,5,5,6
"1832",1974-01-06,7093,"Sun",1974,1,6,6,7
"1833",1974-01-07,8623,"Mon",1974,1,7,7,1
"1834",1974-01-08,8786,"Tues",1974,1,8,8,2
"1835",1974-01-09,8346,"Wed",1974,1,9,9,3
"1836",1974-01-10,8682,"Thurs",1974,1,10,10,4
"1837",1974-01-11,9044,"Fri",1974,1,11,11,5
"1838",1974-01-12,7769,"Sat",1974,1,12,12,6
"1839",1974-01-13,7352,"Sun",1974,1,13,13,7
"1840",1974-01-14,8796,"Mon",1974,1,14,14,1
"1841",1974-01-15,8939,"Tues",1974,1,15,15,2
"1842",1974-01-16,8732,"Wed",1974,1,16,16,3
"1843",1974-01-17,8604,"Thurs",1974,1,17,17,4
"1844",1974-01-18,8971,"Fri",1974,1,18,18,5
"1845",1974-01-19,7751,"Sat",1974,1,19,19,6
"1846",1974-01-20,7479,"Sun",1974,1,20,20,7
"1847",1974-01-21,9058,"Mon",1974,1,21,21,1
"1848",1974-01-22,8767,"Tues",1974,1,22,22,2
"1849",1974-01-23,8457,"Wed",1974,1,23,23,3
"1850",1974-01-24,8692,"Thurs",1974,1,24,24,4
"1851",1974-01-25,8690,"Fri",1974,1,25,25,5
"1852",1974-01-26,7799,"Sat",1974,1,26,26,6
"1853",1974-01-27,7541,"Sun",1974,1,27,27,7
"1854",1974-01-28,8462,"Mon",1974,1,28,28,1
"1855",1974-01-29,8911,"Tues",1974,1,29,29,2
"1856",1974-01-30,8439,"Wed",1974,1,30,30,3
"1857",1974-01-31,8620,"Thurs",1974,1,31,31,4
"1858",1974-02-01,8768,"Fri",1974,2,1,32,5
"1859",1974-02-02,7853,"Sat",1974,2,2,33,6
"1860",1974-02-03,7432,"Sun",1974,2,3,34,7
"1861",1974-02-04,8651,"Mon",1974,2,4,35,1
"1862",1974-02-05,8892,"Tues",1974,2,5,36,2
"1863",1974-02-06,8792,"Wed",1974,2,6,37,3
"1864",1974-02-07,8705,"Thurs",1974,2,7,38,4
"1865",1974-02-08,8822,"Fri",1974,2,8,39,5
"1866",1974-02-09,7692,"Sat",1974,2,9,40,6
"1867",1974-02-10,7150,"Sun",1974,2,10,41,7
"1868",1974-02-11,8766,"Mon",1974,2,11,42,1
"1869",1974-02-12,8924,"Tues",1974,2,12,43,2
"1870",1974-02-13,8808,"Wed",1974,2,13,44,3
"1871",1974-02-14,8895,"Thurs",1974,2,14,45,4
"1872",1974-02-15,9034,"Fri",1974,2,15,46,5
"1873",1974-02-16,7939,"Sat",1974,2,16,47,6
"1874",1974-02-17,7456,"Sun",1974,2,17,48,7
"1875",1974-02-18,8637,"Mon",1974,2,18,49,1
"1876",1974-02-19,9016,"Tues",1974,2,19,50,2
"1877",1974-02-20,8909,"Wed",1974,2,20,51,3
"1878",1974-02-21,8748,"Thurs",1974,2,21,52,4
"1879",1974-02-22,9060,"Fri",1974,2,22,53,5
"1880",1974-02-23,8151,"Sat",1974,2,23,54,6
"1881",1974-02-24,7558,"Sun",1974,2,24,55,7
"1882",1974-02-25,8512,"Mon",1974,2,25,56,1
"1883",1974-02-26,8856,"Tues",1974,2,26,57,2
"1884",1974-02-27,8710,"Wed",1974,2,27,58,3
"1885",1974-02-28,8534,"Thurs",1974,2,28,59,4
"1886",1974-03-01,8917,"Fri",1974,3,1,61,5
"1887",1974-03-02,8083,"Sat",1974,3,2,62,6
"1888",1974-03-03,7650,"Sun",1974,3,3,63,7
"1889",1974-03-04,8890,"Mon",1974,3,4,64,1
"1890",1974-03-05,9270,"Tues",1974,3,5,65,2
"1891",1974-03-06,8686,"Wed",1974,3,6,66,3
"1892",1974-03-07,8640,"Thurs",1974,3,7,67,4
"1893",1974-03-08,8964,"Fri",1974,3,8,68,5
"1894",1974-03-09,7950,"Sat",1974,3,9,69,6
"1895",1974-03-10,7417,"Sun",1974,3,10,70,7
"1896",1974-03-11,8837,"Mon",1974,3,11,71,1
"1897",1974-03-12,8884,"Tues",1974,3,12,72,2
"1898",1974-03-13,8507,"Wed",1974,3,13,73,3
"1899",1974-03-14,8402,"Thurs",1974,3,14,74,4
"1900",1974-03-15,8890,"Fri",1974,3,15,75,5
"1901",1974-03-16,7834,"Sat",1974,3,16,76,6
"1902",1974-03-17,7226,"Sun",1974,3,17,77,7
"1903",1974-03-18,8694,"Mon",1974,3,18,78,1
"1904",1974-03-19,8978,"Tues",1974,3,19,79,2
"1905",1974-03-20,8455,"Wed",1974,3,20,80,3
"1906",1974-03-21,8400,"Thurs",1974,3,21,81,4
"1907",1974-03-22,8668,"Fri",1974,3,22,82,5
"1908",1974-03-23,7773,"Sat",1974,3,23,83,6
"1909",1974-03-24,7034,"Sun",1974,3,24,84,7
"1910",1974-03-25,8570,"Mon",1974,3,25,85,1
"1911",1974-03-26,8756,"Tues",1974,3,26,86,2
"1912",1974-03-27,8515,"Wed",1974,3,27,87,3
"1913",1974-03-28,8461,"Thurs",1974,3,28,88,4
"1914",1974-03-29,8639,"Fri",1974,3,29,89,5
"1915",1974-03-30,7526,"Sat",1974,3,30,90,6
"1916",1974-03-31,7305,"Sun",1974,3,31,91,7
"1917",1974-04-01,8550,"Mon",1974,4,1,92,1
"1918",1974-04-02,9148,"Tues",1974,4,2,93,2
"1919",1974-04-03,8571,"Wed",1974,4,3,94,3
"1920",1974-04-04,8517,"Thurs",1974,4,4,95,4
"1921",1974-04-05,8656,"Fri",1974,4,5,96,5
"1922",1974-04-06,7455,"Sat",1974,4,6,97,6
"1923",1974-04-07,7051,"Sun",1974,4,7,98,7
"1924",1974-04-08,8436,"Mon",1974,4,8,99,1
"1925",1974-04-09,8917,"Tues",1974,4,9,100,2
"1926",1974-04-10,8446,"Wed",1974,4,10,101,3
"1927",1974-04-11,8259,"Thurs",1974,4,11,102,4
"1928",1974-04-12,8386,"Fri",1974,4,12,103,5
"1929",1974-04-13,7609,"Sat",1974,4,13,104,6
"1930",1974-04-14,7032,"Sun",1974,4,14,105,7
"1931",1974-04-15,8342,"Mon",1974,4,15,106,1
"1932",1974-04-16,8615,"Tues",1974,4,16,107,2
"1933",1974-04-17,8602,"Wed",1974,4,17,108,3
"1934",1974-04-18,8333,"Thurs",1974,4,18,109,4
"1935",1974-04-19,8587,"Fri",1974,4,19,110,5
"1936",1974-04-20,7480,"Sat",1974,4,20,111,6
"1937",1974-04-21,7208,"Sun",1974,4,21,112,7
"1938",1974-04-22,8497,"Mon",1974,4,22,113,1
"1939",1974-04-23,9035,"Tues",1974,4,23,114,2
"1940",1974-04-24,8665,"Wed",1974,4,24,115,3
"1941",1974-04-25,8556,"Thurs",1974,4,25,116,4
"1942",1974-04-26,8762,"Fri",1974,4,26,117,5
"1943",1974-04-27,7490,"Sat",1974,4,27,118,6
"1944",1974-04-28,7055,"Sun",1974,4,28,119,7
"1945",1974-04-29,8332,"Mon",1974,4,29,120,1
"1946",1974-04-30,8677,"Tues",1974,4,30,121,2
"1947",1974-05-01,8574,"Wed",1974,5,1,122,3
"1948",1974-05-02,8238,"Thurs",1974,5,2,123,4
"1949",1974-05-03,8660,"Fri",1974,5,3,124,5
"1950",1974-05-04,7384,"Sat",1974,5,4,125,6
"1951",1974-05-05,6928,"Sun",1974,5,5,126,7
"1952",1974-05-06,8317,"Mon",1974,5,6,127,1
"1953",1974-05-07,8886,"Tues",1974,5,7,128,2
"1954",1974-05-08,8484,"Wed",1974,5,8,129,3
"1955",1974-05-09,8525,"Thurs",1974,5,9,130,4
"1956",1974-05-10,8595,"Fri",1974,5,10,131,5
"1957",1974-05-11,7710,"Sat",1974,5,11,132,6
"1958",1974-05-12,7086,"Sun",1974,5,12,133,7
"1959",1974-05-13,8639,"Mon",1974,5,13,134,1
"1960",1974-05-14,8886,"Tues",1974,5,14,135,2
"1961",1974-05-15,9020,"Wed",1974,5,15,136,3
"1962",1974-05-16,8630,"Thurs",1974,5,16,137,4
"1963",1974-05-17,8873,"Fri",1974,5,17,138,5
"1964",1974-05-18,7667,"Sat",1974,5,18,139,6
"1965",1974-05-19,6896,"Sun",1974,5,19,140,7
"1966",1974-05-20,8793,"Mon",1974,5,20,141,1
"1967",1974-05-21,9061,"Tues",1974,5,21,142,2
"1968",1974-05-22,8776,"Wed",1974,5,22,143,3
"1969",1974-05-23,8577,"Thurs",1974,5,23,144,4
"1970",1974-05-24,8924,"Fri",1974,5,24,145,5
"1971",1974-05-25,7593,"Sat",1974,5,25,146,6
"1972",1974-05-26,6932,"Sun",1974,5,26,147,7
"1973",1974-05-27,7460,"Mon",1974,5,27,148,1
"1974",1974-05-28,8570,"Tues",1974,5,28,149,2
"1975",1974-05-29,9063,"Wed",1974,5,29,150,3
"1976",1974-05-30,8958,"Thurs",1974,5,30,151,4
"1977",1974-05-31,9050,"Fri",1974,5,31,152,5
"1978",1974-06-01,7448,"Sat",1974,6,1,153,6
"1979",1974-06-02,7046,"Sun",1974,6,2,154,7
"1980",1974-06-03,8314,"Mon",1974,6,3,155,1
"1981",1974-06-04,8910,"Tues",1974,6,4,156,2
"1982",1974-06-05,8737,"Wed",1974,6,5,157,3
"1983",1974-06-06,8599,"Thurs",1974,6,6,158,4
"1984",1974-06-07,9110,"Fri",1974,6,7,159,5
"1985",1974-06-08,7471,"Sat",1974,6,8,160,6
"1986",1974-06-09,7181,"Sun",1974,6,9,161,7
"1987",1974-06-10,8939,"Mon",1974,6,10,162,1
"1988",1974-06-11,8754,"Tues",1974,6,11,163,2
"1989",1974-06-12,8603,"Wed",1974,6,12,164,3
"1990",1974-06-13,8456,"Thurs",1974,6,13,165,4
"1991",1974-06-14,8898,"Fri",1974,6,14,166,5
"1992",1974-06-15,7666,"Sat",1974,6,15,167,6
"1993",1974-06-16,7211,"Sun",1974,6,16,168,7
"1994",1974-06-17,8676,"Mon",1974,6,17,169,1
"1995",1974-06-18,9016,"Tues",1974,6,18,170,2
"1996",1974-06-19,8864,"Wed",1974,6,19,171,3
"1997",1974-06-20,8833,"Thurs",1974,6,20,172,4
"1998",1974-06-21,9364,"Fri",1974,6,21,173,5
"1999",1974-06-22,8003,"Sat",1974,6,22,174,6
"2000",1974-06-23,7162,"Sun",1974,6,23,175,7
"2001",1974-06-24,8503,"Mon",1974,6,24,176,1
"2002",1974-06-25,9038,"Tues",1974,6,25,177,2
"2003",1974-06-26,8999,"Wed",1974,6,26,178,3
"2004",1974-06-27,8882,"Thurs",1974,6,27,179,4
"2005",1974-06-28,9089,"Fri",1974,6,28,180,5
"2006",1974-06-29,8011,"Sat",1974,6,29,181,6
"2007",1974-06-30,7531,"Sun",1974,6,30,182,7
"2008",1974-07-01,9216,"Mon",1974,7,1,183,1
"2009",1974-07-02,9923,"Tues",1974,7,2,184,2
"2010",1974-07-03,9693,"Wed",1974,7,3,185,3
"2011",1974-07-04,7924,"Thurs",1974,7,4,186,4
"2012",1974-07-05,9051,"Fri",1974,7,5,187,5
"2013",1974-07-06,8285,"Sat",1974,7,6,188,6
"2014",1974-07-07,7626,"Sun",1974,7,7,189,7
"2015",1974-07-08,9472,"Mon",1974,7,8,190,1
"2016",1974-07-09,9860,"Tues",1974,7,9,191,2
"2017",1974-07-10,9423,"Wed",1974,7,10,192,3
"2018",1974-07-11,9218,"Thurs",1974,7,11,193,4
"2019",1974-07-12,9283,"Fri",1974,7,12,194,5
"2020",1974-07-13,8228,"Sat",1974,7,13,195,6
"2021",1974-07-14,7605,"Sun",1974,7,14,196,7
"2022",1974-07-15,9267,"Mon",1974,7,15,197,1
"2023",1974-07-16,9697,"Tues",1974,7,16,198,2
"2024",1974-07-17,9419,"Wed",1974,7,17,199,3
"2025",1974-07-18,9122,"Thurs",1974,7,18,200,4
"2026",1974-07-19,9523,"Fri",1974,7,19,201,5
"2027",1974-07-20,8471,"Sat",1974,7,20,202,6
"2028",1974-07-21,7433,"Sun",1974,7,21,203,7
"2029",1974-07-22,9314,"Mon",1974,7,22,204,1
"2030",1974-07-23,10110,"Tues",1974,7,23,205,2
"2031",1974-07-24,9327,"Wed",1974,7,24,206,3
"2032",1974-07-25,9263,"Thurs",1974,7,25,207,4
"2033",1974-07-26,9574,"Fri",1974,7,26,208,5
"2034",1974-07-27,8492,"Sat",1974,7,27,209,6
"2035",1974-07-28,7872,"Sun",1974,7,28,210,7
"2036",1974-07-29,9454,"Mon",1974,7,29,211,1
"2037",1974-07-30,9821,"Tues",1974,7,30,212,2
