"API_WellNo","County","CoName","Hole","SideTrck","Completion","Well_Typ","Field","Wl_Status","Well_Nm","town","Prod Form","MonthProd","GasProd","WaterProd","OilProd","Year"
"31003666410000","Allegany","Dust Bowl Oil Company, Inc.","66641","00","00","OD","Richburg","IN","Jacob Jordan Farm 213","Wirt","Richburg","0","0","0","0","2015"
"31121153850000","Wyoming","Kirsch, Doris R.","15385","00","00","GD","Sheldon","AC","Kirsh W 1","Sheldon","Medina","12","1","0","0","2015"
"31013114950000","Chautauqua","Libra Petroleum Company","11495","00","00","OD","Busti","AC","Hanson 14","Busti","Glade","12","4","1","2","2015"
"31101229120000","Steuben","Nathan Petroleum Corp.","22912","00","00","OD","Beech Hill-Independence","AC","Edwards II 5","West Union","Fulmer Valley","12","197","1","34","2015"
"31013128050000","Chautauqua","Stedman Energy, Inc.","12805","00","00","GD","Lakeshore","SI","Cochran wn1644","Clymer","Medina","0","0","0","0","2015"
"31013110430000","Chautauqua","Empire Energy E&P LLC","11043","00","00","GD","Lakeshore","AC","Meeder 178","Ripley","Medina","4","105","68","0","2015"
"31003246560000","Allegany","North Branch Energy LLC and Rexaco Corp","24656","00","00","OD","Beech Hill-Independence","AC","Kear II 1     ","Independence","Fulmer Valley","12","1624","3","1","2015"
"31029088820000","Erie","Empire Energy E&P LLC","08882","00","00","GD","Lakeview","AC","Sasse George 1","Evans","Medina","10","240","0","0","2015"
"31009107700000","Cattaraugus","Empire Energy E&P LLC","10770","00","00","GD","Lakeshore","AC","Marek Brothers 2","Otto","Medina","12","1570","0","0","2015"
"31009661340000","Cattaraugus","Stephan, Phillip D.","66134","00","00","OD","Bradford","IN","Kurty 7","Allegany","Bradford","0","0","0","0","2015"
"31011204570000","Cayuga","Minard Run Oil Co.","20457","00","00","GD","West Auburn","AC","Patterson E 1 (660-4)","Aurelius","Queenston","12","6900","0","0","2015"
"31013163830000","Chautauqua","Mayshark, James Page","16383","00","00","GD","Lakeshore","AC","Persons 1","Sherman","Medina","12","270","0","0","2015"
"31009240380000","Cattaraugus","SWEPI LP","24038","00","00","OD","Chipmunk","AC","Rumsey Devonian Sec 14 Lot 1-17     ","Allegany","Bradford & Chipmunk","12","708","38","190","2015"
"31029132260000","Erie","Stedman Energy, Inc.","13226","00","00","GD","Brant-Eden","AC","Diocese of Buffalo 1","Evans","Grimsby","10","420","0","0","2015"
"31003136700000","Allegany","Otis Eastern Service, Inc.","13670","00","00","OD","Fulmer Valley","AC","Joyce Management 1","Andover","Penny","12","12","0","14","2015"
"31013225070000","Chautauqua","Pefley Oil & Gas, Inc.","22507","00","00","OD","Busti","AC","Nelson, M 7g","Busti","Glade","4","18","0","42","2015"
"31009176600000","Cattaraugus","Winger, Philip G. & Diane E.","17660","00","00","OD","Chipmunk","AC","Winger No 1","Carrollton","Chipmunk","12","1","25","11","2015"
"31009283310000","Cattaraugus","Burlingame Oil, LLC","28331","00","00","OD","Four Mile","AC","Burlingame 124     ","Allegany","Surficial","4","1","34","417","2015"
"31009558600000","Cattaraugus","Perkins & Perkins Oil Co. Inc.","55860","00","00","OD","Bradford","AC","King 4     ","Allegany","Bradford","12","0","0","4","2015"
"31099212980000","Seneca","Minard Run Oil Co.","21298","00","00","GD","Fayette-Waterloo","SI","Jensen 1173-2","Fayette","Queenston","0","0","0","0","2015"
"31003667150000","Allegany","Clark, Ralph","66715","00","00","OD","Richburg","IN","Clark 5","Genesee","Richburg","0","0","0","0","2015"
"31009661590000","Cattaraugus","McCracken Oil & Gas, LLC","66159","00","00","OD","Bradford","IN","Wasson 05","Allegany","Bradford","0","0","0","0","2015"
"31037232290000","Genesee","Subsea Oil & Gas, Inc.","23229","00","00","GD","Alden-Lancaster","AC","Cummings 3     ","Pembroke","Medina","12","1593","15","0","2015"
"31101001130000","Steuben","Iroquois Gas Corp.","00113","00","00","GD","Howard","IN","Russell 1","Fremont","Oriskany","0","0","0","0","2015"
"31009226450000","Cattaraugus","Woods Oil Company, Inc.","22645","00","00","OD","Chipmunk","AC","Woods 7","Carrollton","Chipmunk & Bradford 2nd","12","1","7","55","2015"
"31013155990000","Chautauqua","EnerVest Operating, LLC","15599","00","00","GD","Lakeshore","AC","Levin, E. Unit 1","Busti","Medina","12","824","0","0","2015"
"31003662810000","Allegany","Simon of Bolivar Enterprises, Inc.","66281","00","00","OD","Richburg","AC","Andrews 3 (P3)     ","Bolivar","Richburg","12","0","84","8","2015"
"31009242600000","Cattaraugus","Snyder Brothers, Inc.","24260","00","00","OD","Bradford","AC","Nichols Run SBNR2     ","Allegany","Bradford & Chipmunk","12","0","29","32","2015"
"31011204520000","Cayuga","Minard Run Oil Co.","20452","00","00","GD","West Auburn","AC","Bacon 1 (522-3)","Aurelius","Queenston","12","3925","0","0","2015"
"31013250450000","Chautauqua","Chautauqua Energy Drilling, Inc.","25045","00","00","GD","Lakeshore","AC","Scott 1     ","Chautauqua","Medina","12","710","0","0","2015"
"31029248450000","Erie","U S Energy Development Corp.","24845","00","00","GD","North Collins","AC","Werneth 1     ","North Collins","Medina","5","437","0","0","2015"
"31009279860000","Cattaraugus","Burlingame Oil, LLC","27986","00","00","OD","Four Mile","AC","Burlingame 108     ","Allegany","Chipmunk & Bradford 3rd","12","1","12","77","2015"
"31009170430000","Cattaraugus","Empire Energy E&P LLC","17043","00","00","GD","Ellicotville","AC","Cammilleri,A 1","Ellicottville","Medina","12","1424","0","0","2015"
"31011205110000","Cayuga","Minard Run Oil Co.","20511","00","00","GD","West Auburn","AC","Klock 805-2","Springport","Queenston","12","4540","0","0","2015"
"31013076060000","Chautauqua","Libra Petroleum Company","07606","00","00","OD","Busti","AC","L.Crandall 10","Busti","Glade","12","3","1","2","2015"
"31013191610000","Chautauqua","Stedman Energy, Inc.","19161","00","00","GD","Lakeshore","AC","Norvell Reed 1","Sherman","Medina","12","2028","50","0","2015"
"31013202440000","Chautauqua","Chautauqua Energy, Inc.","20244","00","00","OD","North Harmony","AC","Butts 3","North Harmony","Onondaga","12","100","0","0","2015"
"31013148950000","Chautauqua","Greenridge Oil Company LLC","14895","00","00","GD","Lakeshore","AC","Newbury 6","Ripley","Medina","12","700","5","0","2015"
"31003659720000","Allegany","Harris, Stallone and Young, LLC","65972","00","00","OD","Richburg","IN","Allen 04","Scio","Richburg","0","0","0","0","2015"
"31099239630000","Seneca","Minard Run Oil Co.","23963","00","00","GD","Fayette-Waterloo","AC","Zimmerman 1 (626277)     ","Fayette","Queenston","12","2666","0","0","2015"
"31009163490000","Cattaraugus","Copper Ridge Oil, Inc.","16349","00","00","OD","Five Mile","AC","Edstrom 5","Allegany","Bradford","6","1","1","10","2015"
"31013162170000","Chautauqua","Empire Energy E&P LLC","16217","00","00","OD","Gerry-Charlotte","AC","NYSRA 10-4","Gerry","Bass Island","12","442","176","58","2015"
"31029189090000","Erie","Forrestel II, E. Peter","18909","00","00","GD","Akron","SI","Richard E.Forrestel 1","Newstead","Medina","5","1","0","0","2015"
"31003552010000","Allegany","SK Enterprises","55201","00","00","OD","Fulmer Valley","AC","Brandes 5","Wellsville","Fulmer Valley","2","0","0","2","2015"
"31013102500000","Chautauqua","Empire Energy E&P LLC","10250","00","00","GD","Lakeshore","AC","Volk 1 Unit 111","Mina","Medina","12","1702","59","0","2015"
"31097238130000","Schuyler","Talisman Energy USA Inc.","23813","00","00","GW","Goundry Hill","AC","Alletto 1     ","Orange","Black River","12","12268","138","0","2015"
"31029249350000","Erie","U S Energy Development Corp.","24935","00","00","GW","New Field Wildcat","IN","Krohn Unit 1     ","Sardinia","Theresa","12","464","175","0","2015"
"31029223100000","Erie","Matrix Energy Development, Inc.","22310","00","00","GD","Lakeview","AC","Green, B 1","Evans","Medina","12","2827","0","0","2015"
"31121211160000","Wyoming","United States Gypsum Co.","21116","00","00","GD","Danley Corners","AC","Simpson, A & C 1","Bennington","Medina","12","360","11","0","2015"
"31003662450000","Allegany","Clark, Bruce N.","66245","00","00","OD","Fulmer Valley","AC","Clark 4","Andover","Fulmer Valley","12","1","1","17","2015"
"31013182610000","Chautauqua","Empire Energy E&P LLC","18261","00","00","GD","Lakeshore","AC","Brainard,E 1","Ellington","Medina","12","1112","0","0","2015"
"31015264460000","Chemung","Epsilon Energy USA, Inc.","26446","00","00","GW","New Field Wildcat","TA","Larison 2     ","Van Etten","Not Applicable","0","0","0","0","2015"
"31009560330000","Cattaraugus","Drillers LLC","56033","00","00","OD","Four Mile","IN","Stephan U5     ","Allegany","Bradford","0","0","0","0","2015"
"31013179980000","Chautauqua","Chautauqua Energy, Inc.","17998","00","00","OW","Gerry-Charlotte","AC","Lebarron 1","Gerry","Onondaga","12","200","1000","728","2015"
"31029132300000","Erie","Stedman Energy, Inc.","13230","00","00","GD","Brant-Eden","AC","Howles 2","Evans","Grimsby","12","1791","0","0","2015"
"31009257810000","Cattaraugus","U S Energy Development Corp.","25781","00","00","OD","Bradford","AC","Young 1     ","Olean","Upper Devonian","3","15","1","11","2015"
"31013144800000","Chautauqua","Empire Energy E&P LLC","14480","00","00","GD","Lakeshore","AC","Beaujean,H 1","Westfield","Medina","12","1624","1","0","2015"
"31037213380000","Genesee","United States Gypsum Co.","21338","00","00","GD","Indian Falls","AC","Forsyth, G. 1","Oakfield","Medina","12","1472","15","0","2015"
"31009609900000","Cattaraugus","McCracken Oil & Gas, LLC","60990","00","00","OD","Chipmunk","AC","B/R 28","Allegany","Bradford & Chipmunk","12","0","355","140","2015"
"31003658870000","Allegany","Simon of Bolivar Enterprises, Inc.","65887","00","00","OD","Richburg","AC","A&F Oil Co. a74","Genesee","Richburg","1","0","0","1","2015"
"31009131140000","Cattaraugus","Miller Oil Co.","13114","00","00","OW","Bradford","NR","Kinley 03","Allegany","Bradford","0","0","0","0","2015"
"31037116210000","Genesee","Alden Aurora Gas Co.,  Inc.","11621","00","00","GD","Alden-Lancaster","AC","Kawaler 1","Darien","Medina","12","922","0","0","2015"
"31013146540000","Chautauqua","Empire Energy E&P LLC","14654","00","00","GD","Lakeshore","AC","Hewes,G 2","Chautauqua","Medina","12","2295","28","0","2015"
"31009191750000","Cattaraugus","Copper Ridge Oil, Inc.","19175","00","00","OD","Five Mile","AC","Willoughby 5","Olean","Bradford","8","1","1","7","2015"
"31003164460000","Allegany","Case Brothers Inc.","16446","00","00","OD","Richburg","IN","Altimus J14","Genesee","Richburg","0","0","0","0","2015"
"31003686600000","Allegany","SK Enterprises","68660","00","00","OD","Fulmer Valley","AC","Perkins 06","Wellsville","Fulmer Valley","8","0","2","49","2015"
"31009178250000","Cattaraugus","Texas Keystone, Inc.","17825","00","00","GD","Lakeshore","AC","Evans C 6","Persia","Medina","4","475","0","0","2015"
"31015228390000","Chemung","Talisman Energy USA Inc.","22839","00","00","GW","County Line","AC","Whiteman 1","Catlin","Black River","12","68505","16","0","2015"
"31003674300000","Allegany","Richardson Petroleum Corp.","67430","00","00","OD","Beech Hill-Independence","AC","Stillman 3","Independence","Fulmer Valley","12","126","4","7","2015"
"31037138500000","Genesee","United States Gypsum Co.","13850","00","00","GD","Huron Creek","AC","Wittman 1","Pembroke","Medina","12","77","15","0","2015"
"31013180080000","Chautauqua","REI-NY, LLC","18008","00","00","GD","Lakeshore","AC","Hammond 1","Ellery","Medina","3","89","0","0","2015"
"31003300000000","Allegany","U S Energy Development Corp.","30000","00","00","OD","Fulmer Valley","AC","Otis Eastern #3-1","Andover","Penny & Fulmer Valley","8","855","8","12","2015"
"31003651740000","Allegany","T.M. Quaintance Crude Oil Production","65174","00","00","OD","Ford's Brook","AC","Quaker q52","Alma","Richburg","0","0","0","0","2015"
"31101161000000","Steuben","Plants and Goodwin, Inc.","16100","00","00","OD","Beech Hill-Independence","AC","Allen-Edwards A-13N     ","West Union","Fulmer Valley","12","0","16","25","2015"
"31029180600000","Erie","Stedman Energy, Inc.","18060","00","00","GD","Brant-Eden","AC","Mecca Bros 1","Brant","Medina","1","20","0","0","2015"
"31003249180000","Allegany","North Branch Energy LLC and Rexaco Corp","24918","00","00","OD","Beech Hill-Independence","AC","Kear II 3     ","Independence","Fulmer Valley","12","1580","3","1","2015"
"31037238990000","Genesee","United States Gypsum Co.","23899","00","00","GD","Alden-Lancaster","AC","Reynolds 2     ","Darien","Medina","12","1600","3","0","2015"
"31009180450000","Cattaraugus","Texas Keystone, Inc.","18045","00","00","GD","Lakeshore","AC","D Hebner 2","Otto","Medina","2","34","0","0","2015"
"31013248560001","Chautauqua","Chautauqua Energy Drilling, Inc.","24856","00","01","GD","Lakeshore","AC","O'Dell 1A     ","Harmony","Medina","12","1290","0","0","2015"
"31003221850000","Allegany","Richardson Petroleum Corp.","22185","00","00","OD","Beech Hill-Independence","AC","Stillman 27","Independence","Fulmer Valley","12","126","4","7","2015"
"31013176250000","Chautauqua","Volk, Charles","17625","00","00","GD","Lakeshore","AC","Volk, C 1","French Creek","Medina","12","400","0","0","2015"
"31013190890000","Chautauqua","Kastle Resources Enterprises, Inc.","19089","00","00","GD","Lakeshore","AC","Gilbert 2","Ellington","Medina","12","1433","0","0","2015"
"31013211400000","Chautauqua","Chautauqua Energy, Inc.","21140","00","00","GD","Lakeshore","AC","Keith 1","Sherman","Medina","12","200","0","0","2015"
"31053229230000","Madison","Emkey Resources, LLC","22923","00","00","GD","Bradley Brook","AC","Crouch 1","Lebanon","Oneida-Oswego","12","6411","0","0","2015"
"31013224350000","Chautauqua","Matrix Energy Development, Inc.","22435","00","00","GD","Lakeshore","AC","Hunt, G 1","Pomfret","Medina","12","300","0","0","2015"
"31003657140000","Allegany","Pine Oil Co.","65714","00","00","IW","Richburg","IN","Pine Oil 127","Genesee","Richburg","0","0","0","0","2015"
"31009187600000","Cattaraugus","Wood, Kenneth","18760","00","00","GD","Lakeshore","AC","Milks, Sr. 2  6307","Dayton","Medina","12","1","0","0","2015"
"31013050060000","Chautauqua","Decker, James K. & Tiffany J.","05006","00","00","OD","Busti","AC","Sperry 2","Busti","Glade","12","1","12","28","2015"
"31013067350000","Chautauqua","Estate of R.C. Southwell","06735","00","00","OD","Busti","IN","Erickson 1","Busti","Glade","0","0","0","0","2015"
"31009130070000","Cattaraugus","McCracken Oil & Gas, LLC","13007","00","00","OD","Bradford","AC","Chipchop No W-6","Carrollton","Chipmunk, Bradford 2nd & 3rd","12","0","7","42","2015"
"31013125120000","Chautauqua","Kastle Resources Enterprises, Inc.","12512","00","00","GE","Lakeshore","AC","Woolley NY 43","Cherry Creek","Medina","12","1068","0","0","2015"
"31013143820000","Chautauqua","Empire Energy E&P LLC","14382","00","00","GD","Lakeshore","AC","Carlson, W 6654","Busti","Medina","12","1040","0","0","2015"
"31013245550000","Chautauqua","Universal Resources Holdings, Incorporated","24555","00","00","GD","Lakeshore","AC","Rood 2     ","Gerry","Medina","12","1516","100","0","2015"
"31013280140000","Chautauqua","Vertical Energy, Inc.","28014","00","00","OD","Busti","AC","Cali 2     ","Busti","Glade","12","1","5","73","2015"
"31013107260000","Chautauqua","Empire Energy E&P LLC","10726","00","00","GD","Lakeshore","AC","Hebeisen 89 1","Portland","Medina","12","993","15","0","2015"
"31009684990000","Cattaraugus","Armstrong Gas Company, LLC","68499","00","00","OD","Bradford","AC","Enright & Barry 10","Carrollton","Bradford","12","0","75","31","2015"
"31029203980000","Erie","Subsea Oil & Gas, Inc.","20398","00","00","GD","Brant-Eden","AC","Fox 1","Brant","Medina","1","14","0","0","2015"
"31003697320000","Allegany","Ashe Oil Company","69732","00","00","OD","Richburg","AC","Central 72     ","Scio","Richburg","1","0","3","4","2015"
"31003227140000","Allegany","Plants and Goodwin, Inc.","22714","00","00","OD","Richburg","AC","Green 294","Bolivar","Richburg","12","0","10","12","2015"
"31009224480000","Cattaraugus","Empire Energy E&P LLC","22448","00","00","GD","Lakeshore","AC","Hostetler 2","Leon","Medina","12","740","0","0","2015"
"31029254550000","Erie","U S Energy Development Corp.","25455","00","00","GW","New Field Wildcat","AC","Lardo 1     ","Collins","Medina","12","2786","0","0","2015"
"31013148640000","Chautauqua","EnerVest Operating, LLC","14864","00","00","GD","Lakeshore","SI","Erickson 2 Ae-107","Busti","Medina","0","0","0","0","2015"
"31037213370000","Genesee","United States Gypsum Co.","21337","00","00","GD","Alexander","AC","Koers, A & K 1","Alexander","Medina","12","2926","1","0","2015"
"31013120780000","Chautauqua","Empire Energy E&P LLC","12078","00","00","GD","Lakeshore","AC","Vanrensselaer 1304","Hanover","Medina","6","711","0","0","2015"
"31013280600000","Chautauqua","Johnson, Mark & Troy","28060","00","00","OD","Busti","AC","Evinczik 21     ","Busti","Glade","12","1","2","400","2015"
"31013178620000","Chautauqua","Greenridge Oil Company LLC","17862","00","00","GD","Lakeshore","AC","Northrup 1","Ripley","Medina","12","403","5","0","2015"
"31037175620000","Genesee","United States Gypsum Co.","17562","00","00","GD","Indian Falls","AC","Arnold 2","Batavia","Medina","12","3567","19","0","2015"
"31003554890000","Allegany","Simon of Bolivar Enterprises, Inc.","55489","00","00","OD","Richburg","AC","McDivitt 26     ","Bolivar","Richburg","10","0","46","5","2015"
"31013115840000","Chautauqua","Empire Energy E&P LLC","11584","00","00","GD","Lakeshore","AC","Ingham 306 1","Stockton","Medina","12","873","30","0","2015"
"31121170480000","Wyoming","Lenape Resources, Inc.","17048","00","00","GD","Leicester","AC","Halma 109","Perry","Medina","10","166","5","0","2015"
"31009246250000","Cattaraugus","SWEPI LP","24625","00","00","OD","Bradford","AC","Rumsey Devonian Sec 10 Lot 2-196     ","Allegany","Upper Devonian","12","651","40","102","2015"
"31037204180000","Genesee","United States Gypsum Co.","20418","00","00","GD","Huron Creek","AC","Bontrager, E. 2","Darien","Medina","12","557","21","0","2015"
"31013125890000","Chautauqua","Stedman Energy, Inc.","12589","00","00","GD","Lakeshore","AC","NYSRA 13-4","Harmony","Medina","3","112","40","0","2015"
"31121154610000","Wyoming","GFS Energy, Inc.","15461","00","00","GD","Leicester","AC","Bertrand 1","Perry","Medina","11","152","0","0","2015"
"31009638850000","Cattaraugus","Stephan, Phillip D.","63885","00","00","OD","Four Mile","IN","Klice 1","Allegany","Bradford Third","0","0","0","0","2015"
"31013207360000","Chautauqua","3 Wells, LLC","20736","00","00","GD","Lakeshore","AC","Chaut. Partners Ltd. 1","Chautauqua","Medina","12","815","0","0","2015"
"31013245720000","Chautauqua","Ellington Energy, Inc.","24572","00","00","GD","Lakeshore","AC","Patterson Unit 5     ","Portland","Medina","12","1359","0","0","2015"
"31003680130000","Allegany","Sturdevant, Walter B.","68013","00","00","OD","Richburg","NR","J&R Oil Lot 8 117","Bolivar","Richburg","0","0","0","0","2015"
"31009142210000","Cattaraugus","Hemlock Oil & Gas Co., Inc.","14221","00","00","OD","Chipmunk","NR","Allegany Indian Reser 186","Carrollton","Chipmunk","0","0","0","0","2015"
"31037139180000","Genesee","United States Gypsum Co.","13918","00","00","GD","Huron Creek","AC","Peck 1","Batavia","Medina","12","2356","69","0","2015"
"31013183400000","Chautauqua","Chautauqua Energy, Inc.","18340","00","00","GD","Lakeshore","AC","Crandall 1","Chautauqua","Medina","12","200","0","0","2015"
"31029115100000","Erie","PPP Future Development, Inc.","11510","00","00","GW","Concord","IN","Potter wn-1428","Concord","Medina","0","0","0","0","2015"
"31037174560000","Genesee","United States Gypsum Co.","17456","00","00","GD","Huron Creek","AC","Dieter 1","Pembroke","Medina","11","123","9","0","2015"
"31013120020000","Chautauqua","Resource Energy, LLC","12002","00","00","GD","Lakeshore","SI","Whitney 1","North Harmony","Medina","0","0","0","0","2015"
"31003252110000","Allegany","Nathan Petroleum, Yahn & Yahn and Rexaco Oil Corp.","25211","00","00","OD","Beech Hill","AC","Austin 20Y     ","Independence","Fulmer Valley","12","595","3","29","2015"
"31013136340000","Chautauqua","Empire Energy E&P LLC","13634","00","00","GW","Lakeshore","AC","Peterson 6658","Busti","Medina","12","1012","0","0","2015"
"31029250600000","Erie","U S Energy Development Corp.","25060","00","00","GD","North Collins","AC","Winterhaven 1     ","North Collins","Medina","5","328","45","0","2015"
"31011157040000","Cayuga","OI. Auburn, Inc.","15704","00","00","GD","West Auburn","AC","Pattersonn A130-3","Aurelius","Queenston","12","1836","0","0","2015"
"31037204960000","Genesee","United States Gypsum Co.","20496","00","00","GD","Indian Falls","AC","Schafer, L. 2","Pembroke","Medina","12","204","2","0","2015"
"31003252320000","Allegany","Otis Eastern Service, Inc.","25232","00","00","OD","Fulmer Valley","AC","Ponderosa 7     ","Independence","Fulmer Valley","12","672","25","47","2015"
"31003646540000","Allegany","Simon of Bolivar Enterprises, Inc.","64654","00","00","OD","Ford's Brook","NR","Andrus 2","Willing","Richburg","11","0","84","8","2015"
"31013154890000","Chautauqua","Empire Energy E&P LLC","15489","00","00","GD","Lakeshore","AC","Chautauqua Inst 6","Chautauqua","Medina","12","955","5","0","2015"
"31009243750000","Cattaraugus","U S Energy Development Corp.","24375","00","00","GD","Lakeshore","AC","Taylor 2     ","Perrysburg","Medina","11","1271","22","0","2015"
"31011045180000","Cayuga","Janusz, Joseph","04518","00","00","GD","West Auburn","AC","Janusz 1 (795-1)","Throop","Queenston","12","1","0","0","2015"
"31009131420000","Cattaraugus","McCracken Oil & Gas, LLC","13142","00","00","OD","Bradford","AC","Sue 01","Carrollton","Chipmunk","12","0","5","73","2015"
"31029122880000","Erie","Empire Energy E&P LLC","12288","00","00","GD","Lakeview","AC","Hecht 1380","Brant","Medina","12","2250","70","0","2015"
"31009259340001","Cattaraugus","U S Energy Development Corp.","25934","00","01","OD","Bradford","AC","Young 79     ","Olean","Upper Devonian","4","88","8","10","2015"
"31003673740000","Allegany","Karen D. Mott & Mark D. Covert","67374","00","00","OD","Richburg","IN","Fisk f1","Wirt","Richburg","0","0","0","0","2015"
"31013141550000","Chautauqua","Eagle Oil Field Supply, Inc. d/b/a Eagle S & T","14155","00","00","GD","Lakeshore","AC","Vilardo 2","Westfield","Medina","12","1085","0","0","2015"
"31013225470000","Chautauqua","Schreiner Oil and Gas Inc.","22547","00","00","GD","Lakeshore","AC","Laporte 2","Chautauqua","Medina","12","447","0","0","2015"
"31029251140000","Erie","U S Energy Development Corp.","25114","00","00","GD","North Collins","AC","Heary 1     ","Collins","Medina","12","1412","0","0","2015"
"31009245380000","Cattaraugus","SWEPI LP","24538","00","00","OD","Bradford","AC","Rumsey Devonian Sec 14 Lot 3-259     ","Allegany","Upper Devonian","12","708","38","190","2015"
"31009251680000","Cattaraugus","Dallas Energy, LLC","25168","00","00","OD","Chipmunk","AC","Johnson 17     ","Carrollton","Chipmunk, Bradford 2nd & 3rd","12","0","441","90","2015"
"31013225860000","Chautauqua","U S Energy Development Corp.","22586","00","00","GD","Lakeshore","AC","Healy 2 8471","Charlotte","Medina","0","0","0","0","2015"
"31013117830000","Chautauqua","Empire Energy E&P LLC","11783","00","00","GD","Lakeshore","AC","Cherry 1279","Dunkirk","Medina","11","1461","6","0","2015"
"31013153560000","Chautauqua","Empire Energy E&P LLC","15356","00","00","GD","Lakeshore","AC","NYSRA 10-5","Gerry","Grimsby","12","925","68","0","2015"
"31003257590000","Allegany","Ardent Resources, Inc.","25759","00","00","NL","Browning","TA","Nicholas 4     ","Scio","Upper Devonian","0","0","0","0","2015"
"31051174150000","Livingston","Lenape Resources, Inc.","17415","00","00","GD","Avon","AC","Hanover Avon Inc 2","Avon","Medina","12","267","0","0","2015"
"31009279960000","Cattaraugus","Copper Ridge Oil, Inc.","27996","00","00","OD","Five Mile","AC","Struble 14     ","Olean","Bradford Third","11","1","9","183","2015"
"31009249210000","Cattaraugus","McCracken Oil & Gas, LLC","24921","00","00","OD","Bradford","AC","Ertz-Carey EC-4     ","Carrollton","Chipmunk, Bradford 2nd & 3rd","12","227","12","252","2015"
"31009179070000","Cattaraugus","Texas Keystone, Inc.","17907","00","00","GD","Lakeshore","AC","Wilder, S 1","Persia","Medina","1","614","0","0","2015"
"31037204450000","Genesee","United States Gypsum Co.","20445","00","00","GD","Huron Creek","AC","Schriener, E. 1","Batavia","Medina","12","123","34","0","2015"
"31009278600000","Cattaraugus","U S Energy Development Corp.","27860","00","00","OD","Bradford","AC","Young 147     ","Olean","Upper Devonian","12","656","61","64","2015"
"31013254820000","Chautauqua","Universal Resources Holdings, Incorporated","25482","00","00","GD","Lakeshore","AC","Knight 1     ","Ellicott","Medina","12","1691","4","0","2015"
"31013190340000","Chautauqua","Empire Energy E&P LLC","19034","00","00","GD","Lakeshore","AC","Harrower, A 1","Poland","Medina","12","918","0","0","2015"
"31097232300000","Schuyler","Talisman Energy USA Inc.","23230","00","00","GW","Howland Hill","AC","Frost 1     ","Orange","Black River","12","37212","349","0","2015"
"31013129550000","Chautauqua","Kasturi Properties, Ltd.","12955","00","00","GD","Lakeshore","AC","Fee1 Tn Dk","Dunkirk","Medina","12","5733","0","0","2015"
"31003668900000","Allegany","Dorvit, Russell & Shawn","66890","00","00","GD","Ceres","AC","Bucher 2","Genesee","Waugh & Porter","12","1","16","0","2015"
"31101227590200","Steuben","Chesapeake Appalachia, L.L.C.","22759","02","00","GE","Pine Hill","SI","S & D Farms 623144-B ","Cohocton","Black River","0","0","0","0","2015"
"31013015130000","Chautauqua","Iroquois Gas Corp.","01513","00","00","GD","Lakeshore","IN","Ruskiewicz 3","Sheridan","Medina","0","0","0","0","2015"
"31003259730000","Allegany","SK Enterprises","25973","00","00","OD","Fulmer Valley","AC","Voorhees 1     ","Wellsville","Fulmer Valley","8","0","0","30","2015"
"31003668040000","Allegany","Joyce, Christine M.","66804","00","00","OD","Fulmer Valley","NR","Clark 10","Andover","Fulmer Valley","0","0","0","0","2015"
"31009634850000","Cattaraugus","Carls, Kevin D","63485","00","00","OD","Four Mile","SI","5256  9 (Carey Hollow)     ","Allegany","Bradford Third","8","0","1","9","2015"
"31011206150000","Cayuga","Minard Run Oil Co.","20615","00","00","GD","West Auburn","AC","Gould 1033-1","Aurelius","Queenston","10","582","43","0","2015"
"31011206560000","Cayuga","Minard Run Oil Co.","20656","00","00","GD","West Auburn","AC","Patterson 1093-6","Springport","Queenston","12","237","0","0","2015"
"31003635940000","Allegany","J and R Oil Co.","63594","00","00","OD","Scio","IN","Harris - 09","Ward","Scio","0","0","0","0","2015"
"31003680000000","Allegany","Sturdevant, Walter B.","68000","00","00","OD","Richburg","NR","J&R Oil Lot 8 97","Bolivar","Richburg","0","0","0","0","2015"
"31003662920000","Allegany","Simon of Bolivar Enterprises, Inc.","66292","00","00","OD","Richburg","AC","Wheeler 14 (P14)     ","Bolivar","Richburg","11","0","84","8","2015"
"31013180370000","Chautauqua","Empire Energy E&P LLC","18037","00","00","GD","Lakeshore","AC","Griswold 702","Mina","Medina","12","635","22","0","2015"
"31029223560000","Erie","Empire Energy E&P LLC","22356","00","00","GD","Lakeview","AC","Gerwitz, R 1","Evans","Grimsby","12","1321","13","0","2015"
"31101231050000","Steuben","Talisman Energy USA Inc.","23105","00","00","GW","South Corning","AC","Eolin 1     ","Corning","Black River","12","30999","56","0","2015"
"31013170660000","Chautauqua","EnerVest Operating, LLC","17066","00","00","GD","Lakeshore","AC","Swanson Unit 1","Carroll","Medina","12","495","0","0","2015"
"31037139020000","Genesee","United States Gypsum Co.","13902","00","00","GD","Huron Creek","AC","Capwell 1","Darien","Medina","12","387","6","0","2015"
"31013123850000","Chautauqua","Empire Energy E&P LLC","12385","00","00","GD","Lakeshore","AC","McAvoy 475","Arkwright","Medina","12","346","4","0","2015"
"31003555380000","Allegany","Ashe Oil Company","55538","00","00","IW","Richburg","IN","Central 054     ","Scio","Richburg","0","0","0","0","2015"
"31013111460000","Chautauqua","Empire Energy E&P LLC","11146","00","00","GD","Lakeshore","AC","Briggs 1","Stockton","Medina","12","1514","0","0","2015"
